id_start_bay,id_end_bay,t_go_to_start_bay,t_couple_trolley,t_undock_trolley,t_exit_start_bay,t_go_to_end_bay,t_navigation_failures,n_navigation_failure,n_estop,n_joy_twist,n_joystick,d_navigation,t_visual_align,t_drop_trolley,t_undock_robot,sum_navigation_failures,total_go_to_start_bay,total_couple_trolley_and_exit_bay,total_go_to_end_bay,total_drop_trolley_in_bay,total_spent
1,2,198,7000,1005,6910,81896,[],0,0,0,1,45.14041618592194,11807,7413,1188,0,198,14915,81896,20408,117417
2,1,179,8786,1118,6216,87332,[],0,0,0,2,46.44674378640273,7506,6111,1139,0,179,16120,87332,14756,118387
1,2,267,6810,911,7510,78472,[],0,0,0,1,45.02867407538977,9109,6713,1020,0,267,15231,78472,16842,110812
2,1,186,9294,1113,6115,99983,[],0,0,0,2,50.0447935107183,8607,6119,1022,0,186,16522,99983,15748,132439
1,2,206,7237,911,7011,78319,[],0,0,0,1,44.9764081790925,7705,6710,1424,0,206,15159,78319,15839,109523
2,1,240,9512,1011,5700,83361,[],0,0,0,1,46.68318314363937,7203,6427,1019,0,240,16223,83361,14649,114473
1,2,181,6890,912,6710,78160,[],0,0,0,1,44.849106108296056,12112,6106,1220,0,181,14512,78160,19438,112291
2,1,202,8876,1021,4901,82919,[],0,0,0,2,46.46580465899461,7903,6308,1119,0,202,14798,82919,15330,113249
1,2,273,7447,910,6643,78741,[],0,0,0,2,44.86066558628361,7706,6306,1342,0,273,15000,78741,15354,109368
2,1,520,9100,915,4812,84614,[],0,0,0,1,46.36583169056955,6808,6611,1120,0,520,14827,84614,14539,114500
1,2,295,7398,1018,7507,77219,[],0,0,0,1,44.90833931986432,9610,6512,1278,0,295,15923,77219,17400,110837
2,1,232,9887,1015,5107,84428,[],0,0,0,1,46.24218842344307,10508,6613,1129,0,232,16009,84428,18250,118919
1,2,253,7526,1009,7075,78725,[],0,0,0,1,44.94757634051907,12807,6211,1191,0,253,15610,78725,20209,114797
2,1,226,9200,905,4898,83036,[],0,0,0,1,46.9201696907453,6603,6927,1127,0,226,15003,83036,14657,112922
1,2,191,7567,919,7106,81575,[],0,0,0,4,45.491961115505276,14806,6108,1033,0,191,15592,81575,21947,119305
2,1,275,8995,1111,5511,84295,[],0,0,0,1,46.39234878871156,6908,6410,1116,0,275,15617,84295,14434,114621
1,2,177,6598,911,6909,78508,[],0,0,0,1,44.898212181798044,12006,6111,1036,0,177,14418,78508,19153,112256
2,1,456,9211,1108,5613,90601,[],0,0,0,4,47.60878491915176,9907,6708,1214,0,456,15932,90601,17829,124818
